Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%,Transfer_Value,Transfer_Value_Str
Tyrone Mings,eng ENG,DF,Aston Villa,32,1051,0,0,1,0,0.8,0.2,6,39,0,0.0,0.0,0.07,0.02,N/A,0.09,0.0,11.8,581,88.6,10405,N/A,N/A,N/A,3,47,5,0,N/A,N/A,N/A,N/A,6,5,N/A,0,13,11,2,7,767,139,388,340,43,15,N/A,N/A,472,N/A,12,0,3,1,523,3,N/A,0,1,33,26,21,55.3,4.8,€4.8M
Yankuba Minteh,gm GAM,"FW,MF",Brighton,20,1498,5,4,6,0,3.7,4.7,68,37,159,0.3,0.24,0.22,0.29,N/A,0.78,0.18,13.6,283,61.7,4572,N/A,N/A,N/A,25,12,28,7,N/A,N/A,N/A,N/A,43,31,N/A,28,17,0,17,10,687,27,122,194,389,118,N/A,N/A,392,N/A,18,54,42,19,405,17,N/A,4,73,73,16,25,39.0,21.0,€21.0M
Tyrick Mitchell,eng ENG,DF,Crystal Palace,25,2852,0,4,2,0,1.2,5.6,56,62,160,0.0,0.13,0.04,0.18,N/A,0.06,0.0,13.4,904,72.2,14514,N/A,N/A,N/A,37,45,31,14,N/A,N/A,N/A,N/A,85,52,N/A,20,62,12,50,14,1614,104,560,615,452,42,N/A,N/A,742,N/A,33,9,35,28,827,20,N/A,2,97,152,18,21,46.2,12.2,€12.2M
Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27,2521,9,3,1,0,8.8,4.4,138,82,277,0.32,0.11,0.31,0.16,N/A,0.89,0.17,13.9,701,75.3,9130,N/A,N/A,N/A,35,34,32,8,N/A,N/A,N/A,N/A,43,26,N/A,28,46,3,43,13,1300,15,149,445,734,156,N/A,N/A,786,N/A,76,55,49,22,911,39,N/A,5,72,92,24,27,47.1,26.3,€26.3M
Mikey Moore,eng ENG,"FW,MF",Tottenham,17,185,0,1,0,0,0.2,0.3,9,7,30,0.0,0.49,0.1,0.16,N/A,0.0,0.0,19.5,48,71.6,593,N/A,N/A,N/A,3,1,5,1,N/A,N/A,N/A,N/A,0,0,N/A,1,1,0,1,1,96,1,10,22,65,12,N/A,N/A,68,N/A,3,4,6,4,73,3,N/A,2,12,5,1,4,20.0,2.3,€2.3M
Morato,br BRA,DF,Nott'ham Forest,23,799,0,0,2,0,0.2,0.0,0,14,1,0.0,0.0,0.02,0.0,N/A,0.11,0.0,8.6,181,74.2,3048,N/A,N/A,N/A,0,11,0,0,N/A,N/A,N/A,N/A,21,13,N/A,7,11,4,7,10,382,82,237,128,19,2,N/A,N/A,124,N/A,2,0,6,3,158,10,N/A,0,0,31,5,13,27.8,4.5,€4.5M
Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31,955,0,1,2,0,0.2,1.3,26,34,34,0.0,0.09,0.02,0.12,N/A,0.0,0.0,23.7,308,72.0,4574,N/A,N/A,N/A,8,25,9,2,N/A,N/A,N/A,N/A,25,18,N/A,24,11,5,6,15,559,60,210,202,158,8,N/A,N/A,229,N/A,16,4,13,6,258,12,N/A,0,19,50,3,11,21.4,5.8,€5.8M
Sam Morsy,eg EGY,MF,Ipswich Town,33,2419,1,1,9,0,0.3,0.8,14,103,9,0.04,0.04,0.01,0.03,N/A,0.07,0.11,26.3,1083,86.3,17344,N/A,N/A,N/A,18,127,13,2,N/A,N/A,N/A,N/A,60,34,N/A,31,32,13,19,28,1468,85,439,834,209,4,N/A,N/A,750,N/A,20,2,15,10,982,44,N/A,0,12,138,16,23,41.0,11.6,€11.6M
Yerson Mosquera,co COL,DF,Wolves,24,441,0,0,2,0,0.3,0.1,0,7,0,0.0,0.0,0.07,0.02,N/A,0.0,0.0,12.4,205,85.4,3996,N/A,N/A,N/A,2,16,1,1,N/A,N/A,N/A,N/A,11,7,N/A,5,13,10,3,10,294,43,170,115,12,7,N/A,N/A,168,N/A,1,0,4,1,182,6,N/A,1,2,24,11,6,64.7,2.4,€2.4M
Mason Mount,eng ENG,"MF,FW",Manchester Utd,26,374,0,0,3,0,1.5,0.2,9,18,20,0.0,0.0,0.35,0.05,N/A,0.72,0.0,15.8,123,79.9,1727,N/A,N/A,N/A,5,9,3,1,N/A,N/A,N/A,N/A,8,2,N/A,2,7,1,6,2,200,3,27,95,81,18,N/A,N/A,130,N/A,9,2,9,9,151,13,N/A,0,9,11,3,6,33.3,3.8,€3.8M
