Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%
Reiss Nelson,eng ENG,FW,Fulham,25,487,1,1,1,0,1.1,1.0,45,35,63,0.18,0.18,0.2,0.18,N/A,1.11,0.08,15.4,232,86.6,3429,N/A,N/A,N/A,13,7,15,3,N/A,N/A,N/A,N/A,8,6,N/A,8,11,0,11,5,347,5,30,110,212,35,N/A,N/A,259,N/A,25,21,14,8,274,6,N/A,1,23,29,0,4,0.0
Neto,br BRA,GK,Bournemouth,35,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,40,64.5,1183,N/A,N/A,N/A,0,2,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,0,70,60,70,0,0,0,N/A,N/A,35,N/A,0,0,0,0,28,0,N/A,0,0,3,0,0,N/A
Pedro Neto,pt POR,FW,Chelsea,25,2013,4,5,8,0,2.9,6.1,118,57,229,0.18,0.22,0.13,0.27,N/A,0.72,0.07,18.8,632,78.6,10311,N/A,N/A,N/A,44,29,35,22,N/A,N/A,N/A,N/A,22,9,N/A,11,13,2,11,9,1034,12,92,302,657,108,N/A,N/A,672,N/A,52,42,40,25,753,19,N/A,3,133,71,10,26,27.8
Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25,895,1,1,6,1,4.5,1.6,38,17,68,0.1,0.1,0.45,0.16,N/A,1.21,0.03,14.2,166,74.4,2483,N/A,N/A,N/A,12,11,4,0,N/A,N/A,N/A,N/A,13,6,N/A,6,10,1,9,2,368,10,40,155,180,61,N/A,N/A,217,N/A,22,13,30,16,264,26,N/A,4,5,22,18,32,36.0
Christopher Nkunku,fr FRA,FW,Chelsea,27,921,3,2,2,0,4.8,2.1,17,25,68,0.29,0.2,0.47,0.21,N/A,1.07,0.12,12.6,299,89.5,3928,N/A,N/A,N/A,14,26,7,0,N/A,N/A,N/A,N/A,12,8,N/A,2,9,2,7,7,448,10,52,183,217,52,N/A,N/A,280,N/A,16,13,18,17,356,16,N/A,3,4,29,16,22,42.1
Matheus Nunes,pt POR,"DF,MF",Manchester City,26,1494,1,5,4,0,0.9,4.2,59,69,156,0.06,0.3,0.05,0.25,N/A,0.18,0.14,18.3,957,86.3,14863,N/A,N/A,N/A,21,45,25,7,N/A,N/A,N/A,N/A,32,21,N/A,19,14,3,11,13,1267,39,221,494,560,54,N/A,N/A,779,N/A,31,22,29,13,916,28,N/A,6,39,60,13,16,44.8
Darwin Núñez,uy URU,FW,Liverpool,25,1051,5,2,8,0,5.3,1.2,22,27,69,0.43,0.17,0.45,0.11,N/A,1.03,0.15,14.3,151,70.6,2248,N/A,N/A,N/A,9,9,2,0,N/A,N/A,N/A,N/A,19,16,N/A,10,6,0,6,3,340,10,44,113,193,66,N/A,N/A,184,N/A,17,12,21,19,228,27,N/A,11,2,39,17,30,36.2
Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,18,821,4,2,1,0,1.1,1.0,44,30,102,0.44,0.22,0.12,0.11,N/A,0.88,0.18,18.2,307,80.2,4430,N/A,N/A,N/A,12,16,13,6,N/A,N/A,N/A,N/A,11,7,N/A,11,8,2,6,2,496,3,43,160,298,40,N/A,N/A,334,N/A,23,16,21,17,362,8,N/A,6,51,33,4,7,36.4
Christian Nørgaard,dk DEN,MF,Brentford,31,2549,5,3,6,1,3.9,1.0,12,133,37,0.18,0.11,0.14,0.04,N/A,0.42,0.14,14.3,1049,81.3,17392,N/A,N/A,N/A,17,128,24,4,N/A,N/A,N/A,N/A,75,45,N/A,27,51,19,32,45,1638,161,561,780,312,52,N/A,N/A,738,N/A,12,4,31,18,974,41,N/A,1,15,179,44,29,60.3
Jake O'Brien,ie IRL,DF,Everton,23,1391,2,0,5,0,0.7,0.6,7,43,24,0.13,0.0,0.05,0.04,N/A,0.19,0.4,11.5,509,78.3,9400,N/A,N/A,N/A,6,41,8,5,N/A,N/A,N/A,N/A,24,16,N/A,8,16,4,12,4,805,69,321,352,135,18,N/A,N/A,356,N/A,6,2,5,5,428,13,N/A,3,18,51,33,27,55.0
Matt O'Riley,dk DEN,MF,Brighton,24,847,1,1,1,0,2.0,1.7,19,34,47,0.11,0.11,0.21,0.18,N/A,0.64,0.05,16.8,285,77.9,4508,N/A,N/A,N/A,17,28,7,0,N/A,N/A,N/A,N/A,15,9,N/A,8,7,3,4,13,468,17,68,212,190,40,N/A,N/A,243,N/A,11,7,16,3,275,13,N/A,1,43,24,5,7,41.7
Dara O'Shea,ie IRL,DF,Ipswich Town,26,2852,0,2,6,0,1.2,0.5,3,71,8,0.0,0.06,0.04,0.02,N/A,0.06,0.0,13.6,1112,77.7,22113,N/A,N/A,N/A,3,83,3,1,N/A,N/A,N/A,N/A,47,30,N/A,11,59,47,12,31,1841,361,1065,663,118,48,N/A,N/A,805,N/A,2,0,11,4,1048,18,N/A,3,7,101,103,79,56.6
Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,17,155,0,0,1,0,0.6,0.0,2,1,12,0.0,0.0,0.35,0.0,N/A,0.58,0.0,10.8,19,82.6,247,N/A,N/A,N/A,0,1,0,0,N/A,N/A,N/A,N/A,2,1,N/A,0,0,0,0,0,44,3,6,19,19,8,N/A,N/A,22,N/A,0,1,5,1,29,3,N/A,0,0,9,1,4,20.0
Wilson Odobert,fr FRA,FW,Tottenham,20,629,1,0,0,0,1.2,0.9,40,21,56,0.14,0.0,0.17,0.13,N/A,0.43,0.09,16.8,173,77.2,2288,N/A,N/A,N/A,5,8,10,3,N/A,N/A,N/A,N/A,9,3,N/A,5,4,0,4,3,306,5,32,109,168,32,N/A,N/A,221,N/A,21,17,16,14,229,1,N/A,1,21,29,3,6,33.3
Chiedozie Ogbene,ie IRL,FW,Ipswich Town,28,238,0,0,0,0,0.0,0.1,7,0,15,0.0,0.0,0.0,0.03,N/A,0.0,N/A,N/A,32,74.4,415,N/A,N/A,N/A,2,0,0,0,N/A,N/A,N/A,N/A,7,3,N/A,2,1,0,1,1,70,3,11,19,40,6,N/A,N/A,41,N/A,2,2,4,2,43,2,N/A,1,4,6,1,6,14.3
Caleb Okoli,it ITA,DF,Leicester City,23,1124,1,0,4,0,0.6,0.0,3,32,2,0.08,0.0,0.05,0.0,N/A,0.16,0.25,13.5,558,86.4,9738,N/A,N/A,N/A,0,21,1,0,N/A,N/A,N/A,N/A,25,14,N/A,7,24,14,10,15,804,152,450,324,35,10,N/A,N/A,467,N/A,6,0,10,2,483,16,N/A,0,1,44,23,21,52.3
Robin Olsen,se SWE,GK,Aston Villa,35,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,54,71.1,1466,N/A,N/A,N/A,0,2,0,0,N/A,N/A,N/A,N/A,1,0,N/A,0,0,0,0,0,83,73,82,1,0,0,N/A,N/A,44,N/A,0,0,0,0,41,0,N/A,0,0,2,0,0,N/A
Amadou Onana,be BEL,MF,Aston Villa,23,1378,3,0,4,0,2.1,0.3,21,60,14,0.2,0.0,0.14,0.02,N/A,0.39,0.18,14.7,607,88.5,9552,N/A,N/A,N/A,8,56,9,1,N/A,N/A,N/A,N/A,47,24,N/A,12,14,6,8,24,858,62,233,506,133,21,N/A,N/A,468,N/A,20,1,10,9,579,30,N/A,0,1,66,27,18,60.0
